D33I06	D33I07	D33I08	D33I10	D33J01	D34G04	D34G05	D34G06	D34G07	D34G09	D34G10
LOC113006607	109	186	115	136	82	934	521	409	83	983	114
LOC113006608	0	0	3	0	4	24	7	11	0	10	0
LOC113006609	72	26	27	38	71	34	49	33	2	35	11
LOC113006610	12	0	23	21	2	52	44	48	4	32	13
LOC113006612	864	683	924	644	818	1574	1073	974	826	1324	523
LOC113006614	53	42	225	111	63	569	143	50	17	156	11
LOC113006615	14	0	32	37	35	177	251	69	11	154	21
LOC113006616	47	24	7	41	44	103	20	11	8	29	0
LOC113006617	60	37	25	45	61	38	17	34	17	29	14
LOC113006618	122	82	176	94	102	208	108	52	36	80	28
LOC113006619	805	768	1456	437	756	1563	666	699	376	1330	207
LOC113006620	0	0	0	0	0	0	1	0	0	0	0
LOC113006623	123	47	144	82	113	146	77	36	24	52	4
LOC113006624	0	0	0	0	0	0	0	0	0	0	0
LOC113006626	6	0	0	0	0	7	5	7	6	0	0
LOC113006627	45	4	99	31	35	1	5	52	2	1	5
LOC113006628	3	1	17	6	5	19	8	2	0	11	0
LOC113006630	5	38	42	40	102	332	430	98	50	205	45
LOC113006632	0	0	0	2	0	0	6	0	0	0	0
LOC113006633	168	368	226	198	76	633	182	413	29	393	44
LOC113006635	160	179	163	135	151	162	164	112	15	204	34
LOC113006638	232	58	14	63	84	43	66	3	64	33	0
LOC113006639	21	12	0	6	47	26	37	7	5	14	7
LOC113006640	2964	2126	2284	1937	2048	1929	1263	1412	1085	2227	752
LOC113006645	51	19	4	16	26	28	8	3	0	5	0
LOC113006646	97	111	31	67	450	209	506	31	7	102	4
LOC113006649	0	0	0	5	16	0	0	0	0	0	0
LOC113006650	0	1	0	0	0	0	1	0	0	0	0
LOC113006651	0	0	0	0	13	6	5	4	0	2	0
LOC113006653	25	15	33	37	7	85	33	30	28	17	8
LOC113006654	95	124	58	67	247	350	289	29	15	114	12
LOC113006655	58	81	33	76	164	278	277	146	50	216	77
LOC113006658	107	143	123	116	174	244	245	61	6	171	16
LOC113006660	6	0	0	2	0	0	0	0	0	0	0
LOC113006662	41	33	18	39	199	64	135	9	8	26	0
LOC113006663	63	52	96	38	40	192	177	80	3	134	39
LOC113006664	0	14	0	2	30	41	34	5	0	11	0
LOC113006665	26	2	7	14	24	97	65	32	3	26	0
LOC113006669	6	18	23	0	3	16	4	0	0	40	0
LOC113006670	4	9	0	3	0	0	0	0	0	2	0
LOC113006671	6	4	0	4	0	4	7	0	0	0	2
LOC113006672	5	2	21	4	6	35	1	2	4	4	0
LOC113006673	13	7	22	5	3	8	3	0	0	6	0
LOC113006675	47	25	10	28	96	134	122	4	4	52	1
LOC113006677	0	0	0	0	0	0	0	0	0	0	0
LOC113006680	56	22	76	81	49	230	232	127	32	102	35
LOC113006681	54	70	57	43	54	106	75	55	17	85	10
LOC113006683	48	68	55	58	191	310	367	127	65	232	54
LOC113006687	4	27	15	24	76	453	286	93	61	194	51
LOC113006691	166	172	422	139	109	500	243	214	81	258	112
LOC113006692	0	0	0	0	0	0	0	0	0	0	0
LOC113006695	14	41	25	18	67	149	81	18	0	29	7
LOC113006697	367	194	531	286	295	569	375	257	103	316	86
LOC113006702	324	395	165	282	854	827	619	84	43	444	73
LOC113006710	221	223	233	204	248	534	399	229	136	253	137
LOC113006711	100	96	142	102	62	155	83	127	42	163	23
LOC113006714	236	139	232	166	394	556	273	239	108	228	137
LOC113006715	27	7	0	11	52	75	97	17	3	44	4
LOC113006718	28	25	6	0	39	28	53	1	5	61	6
LOC113006719	0	0	9	0	1	2	1	2	0	1	122
LOC113006728	229	245	133	179	265	1163	419	232	25	922	47
LOC113006730	0	0	0	1	0	4	3	0	0	0	0
LOC113006734	6	6	0	0	3	6	3	1	0	5	0
LOC113006735	7	36	38	37	60	83	107	19	4	73	0
LOC113006737	174	72	128	116	235	532	502	86	39	188	35
LOC113006738	3788	3074	8649	3697	4431	25606	12498	7939	4443	12741	3349
LOC113006742	0	0	0	0	0	0	0	0	0	1	0
LOC113006743	0	0	9	2	8	4	0	1	0	4	10
LOC113006747	27	25	2	12	64	146	231	1	0	56	3
LOC113006748	78	46	45	53	217	340	312	31	18	141	2
LOC113006752	5	25	50	19	31	240	223	44	15	117	36
LOC113006753	80	14	35	33	12	151	15	66	12	30	6
LOC113006754	0	0	0	0	0	0	0	0	0	0	0
LOC113006760	128	135	85	78	84	344	144	107	24	242	67
LOC113006762	24	22	17	8	149	290	209	0	0	82	2
LOC113006763	3	3	11	3	1	5	0	0	0	0	0
LOC113006764	604	650	578	486	241	2121	925	1411	376	1435	445
LOC113006765	657	576	916	624	716	1011	788	571	206	763	280
LOC113006771	10	1	1	0	2	16	0	9	0	3	2
LOC113006778	17	0	1	7	1	0	5	2	0	0	0
LOC113006779	0	0	0	0	0	0	0	0	0	0	0
LOC113006780	41	28	28	23	69	204	263	185	54	300	71
LOC113006784	248	331	445	300	576	1300	809	604	283	901	263
LOC113006789	29	0	10	56	2	39	1	200	0	2	11
LOC113006790	0	2	3	0	2	36	21	0	0	4	0
LOC113006791	4	13	10	35	25	39	41	4	3	16	0
LOC113006792	42	13	29	39	168	197	245	4	5	59	6
LOC113006793	998	1084	632	875	506	6794	1929	5525	570	2852	2080
LOC113006795	229	117	127	123	233	256	180	128	42	201	24
LOC113006803	100	86	79	41	53	351	133	171	43	335	43
LOC113006804	0	0	4	0	4	0	0	0	0	0	1
LOC113006807	0	0	0	0	0	0	0	0	0	0	0
LOC113006809	62	87	26	72	89	16	77	163	172	130	75
LOC113006810	56	20	179	66	31	83	82	39	21	53	103
LOC113006814	188	75	131	58	132	115	58	23	28	65	7
LOC113006818	43	59	58	62	51	143	97	64	14	90	31
